Date,Students,Employees,Subcontractors
3-Aug,0,1,0
10-Aug,9,1,0
17-Aug,25,1,0
20-Aug,53,2,0
24-Aug,63,3,0
26-Aug,61,3,0
28-Aug,75,3,3
31-Aug,93,5,4
2-Sep,83,3,5
4-Sep,57,4,6
7-Sep,42,4,6
9-Sep,35,4,6
11-Sep,38,5,4
14-Sep,32,5,4
16-Sep,26,1,2
18-Sep,27,2,1
21-Sep,17,2,1
23-Sep,12,1,1
25-Sep,13,2,1
28-Sep,12,2,1
30-Sep,11,3,1
2-Oct,16,5,0
5-Oct,15,5,1
7-Oct,12,5,1
9-Oct,11,4,1
12-Oct,12,1,1
14-Oct,16,1,0
16-Oct,17,4,0
19-Oct,15,4,0
21-Oct,19,4,0
23-Oct,24,8,0
26-Oct,42,8,0
28-Oct,57,9,1
30-Oct,56,10,0
2-Nov,79,11,0
4-Nov,55,10,1
6-Nov,69,11,2
9-Nov,55,9,2
11-Nov,48,8,2
13-Nov,41,6,2
16-Nov,27,8,2
18-Nov,30,9,1
20-Nov,13,8,1
23-Nov,8,8,1
25-Nov,3,6,1
27-Nov,3,6,1
30-Nov,3,6,0
2-Dec,1,4,0
4-Dec,1,5,0
7-Dec,0,5,0
