Date,Quarantined
3-Aug,0.00
10-Aug,0.00
17-Aug,0.00
20-Aug,32.69
24-Aug,46.15
26-Aug,37.50
28-Aug,27.88
31-Aug,29.81
2-Sep,30.70
4-Sep,25.00
7-Sep,16.35
9-Sep,8.70
11-Sep,8.70
14-Sep,8.70
16-Sep,1.92
18-Sep,1.92
21-Sep,2.88
23-Sep,2.88
25-Sep,3.85
28-Sep,2.88
30-Sep,2.88
2-Oct,1.92
5-Oct,2.88
7-Oct,10.58
9-Oct,4.81
12-Oct,4.81
14-Oct,6.73
16-Oct,11.54
19-Oct,4.81
21-Oct,7.69
23-Oct,17.31
26-Oct,23.08
28-Oct,28.84
30-Oct,33.65
2-Nov,29.80
4-Nov,30.77
6-Nov,35.58
9-Nov,23.08
11-Nov,20.19
13-Nov,18.27
16-Nov,15.38
18-Nov,10.58
20-Nov,4.81
23-Nov,1.92
25-Nov,0.00
27-Nov,0.00
30-Nov,0.00
2-Dec,0.00
4-Dec,0.00
7-Dec,0.00
